id,key,value,type
36420202,en,Putra Mahkota Toll Plaza,name
36420202,operator,PLUS Expressways,regular
36420314,highway,traffic_signals,regular
36420571,highway,traffic_signals,regular
36420865,ref,612,regular
36420865,name,Nilai Utara,regular
36420865,highway,motorway_junction,regular
36420865,en,Nilai North,name
38028878,highway,traffic_signals,regular
38072273,name,Pantai Dalam (B) Toll Plaza,regular
38072273,barrier,toll_booth,regular
38079435,highway,traffic_signals,regular
38080355,highway,traffic_signals,regular
38921040,name,Petron,regular
38921040,is_in,"KESAS, Subang Jaya, Selangor, Malaysia",regular
38921040,amenity,fuel,regular
50425014,highway,traffic_signals,regular
139762585,highway,traffic_signals,regular
139771094,name,Plaza Tol Kajang,regular
139771094,barrier,toll_booth,regular
139771094,en,Kajang Toll Plaza,name
139771094,operator,PLUS Expressways,regular
139777581,highway,traffic_signals,regular
139798080,highway,traffic_signals,regular
139798080,traffic_signals,signal,regular
139844080,highway,traffic_signals,regular
139856598,highway,traffic_signals,regular
139925923,name,Taipan,regular
139925923,is_in,"USJ10, Subang Jaya, Selangor, Malaysia",regular
139925923,place,locality,regular
139925923,zh,大班,name
139966341,name,Petronas,regular
139966341,is_in,"Seksyen 20, Shah Alam, Selangor, Malaysia",regular
139966341,amenity,fuel,regular
139966341,created_by,Potlatch 0.6a,regular
139966341,postal_code,40300,regular
139970947,is_in,"Subang Jaya, Selangor, Malaysia",regular
139970947,name,Pinggiran USJ,regular
139970947,place,neighbourhood,regular
139970947,postal_code,47600,regular
140007332,highway,traffic_signals,regular
140012613,name,Tesco,regular
140012613,shop,supermarket,regular
140012613,is_in,"Saujana Impian, Kajang, Selangor, Malaysia",regular
140022516,ele,30,regular
140022516,name,Kajang,regular
140022516,place,city,regular
140022516,ja,カジャン,name
140022516,ta,காஜாங்,name
140022516,zh,加影,name
140022516,wikidata,Q1946482,regular
140022516,wikipedia,en:Kajang,regular
140022516,state,Selangor,is_in
140022516,county,Kajang,is_in
140022516,postcode,43000,addr
140022516,country,Malaysia,is_in
140023910,name,Jenaris,regular
140023910,is_in,"Kajang, Selangor, Malaysia",regular
140023910,place,village,regular
140028742,highway,traffic_signals,regular
141156064,name,Bandar Baru Bangi,regular
141156064,is_in,"Selangor, Malaysia",regular
141156064,place,town,regular
141156064,ja,"バンダル バル バンギ,",name
141156064,zh,万宜新镇,name
141466243,name,Seksyen 21,regular
141466243,is_in,"Shah Alam, Selangor, Malaysia",regular
141466243,place,hamlet,regular
141466243,en,Section 21,name
141466243,created_by,Potlatch 0.5d,regular
141466329,name,Seksyen 19,regular
141466329,is_in,"Shah Alam, Selangor, Malaysia",regular
141466329,place,suburb,regular
141466329,postal_code,40300,regular
142341987,amenity,parking,regular
142341987,created_by,Potlatch 0.5d,regular
142356979,amenity,parking,regular
142356979,created_by,Potlatch 0.5d,regular
142414303,highway,traffic_signals,regular
142417956,name,Kemuning Toll Plaza,regular
142417956,barrier,toll_booth,regular
142419803,highway,traffic_signals,regular
142419812,highway,traffic_signals,regular
142419816,highway,traffic_signals,regular
142424949,highway,traffic_signals,regular
142426816,highway,traffic_signals,regular
142431084,ref,503,regular
142431084,exit_to,Bandar Puteri,regular
142431084,highway,motorway_junction,regular
142431109,name,Plaza Tol Kemuning,regular
142431109,barrier,toll_booth,regular
142431109,en,Kemuning Toll Plaza,name
142457861,ele,70,regular
142457861,name,Shah Alam,regular
142457861,is_in,"Selangor, Malaysia",regular
142457861,place,city,regular
142457861,capital,4,regular
142457861,ja,シャー・アラム,name
142457861,ko,샤알람,name
142457861,ms,Shah Alam,name
142457861,ta,ஷா ஆலாம்,name
142457861,zh,莎亚南,name
142457861,wikidata,Q500033,regular
142457861,wikipedia,en:Shah Alam,regular
142457861,population,723890,regular
142457861,zh,沙亚南,alt_name
142457861,state,Selangor,is_in
142457861,country,Malaysia,is_in
142457861,zh,沙阿南,official_name
142458540,name,Seksyen 17,regular
142458540,is_in,"Shah Alam, Selangor, Malaysia",regular
142458540,place,hamlet,regular
142458540,en,Section 17,name
142458540,created_by,Potlatch 0.6a,regular
142459080,name,Seksyen 24,regular
142459080,is_in,"Shah Alam, Selangor, Malaysia",regular
142459080,place,hamlet,regular
142459080,en,Section 24,name
143671043,highway,traffic_signals,regular
143671047,highway,traffic_signals,regular
144084639,highway,traffic_signals,regular
144159724,name,Bandar Teknologi,regular
144159724,is_in,Kajang,regular
144159724,place,hamlet,regular
144159724,created_by,Potlatch 0.5d,regular
144159724,postal_code,43500,regular
144165851,highway,traffic_signals,regular
149981681,name,Nilai 3,regular
149981681,place,neighbourhood,regular
149988153,ref,213,regular
149988153,name,Putera Mahkota,regular
149988153,highway,motorway_junction,regular
150028544,highway,traffic_signals,regular
150062619,highway,motorway_junction,regular
150064376,highway,traffic_signals,regular
150072224,highway,traffic_signals,regular
150073339,highway,traffic_signals,regular
150078177,highway,traffic_signals,regular
150078177,traffic_signals,signal,regular
150078996,highway,traffic_signals,regular
150088688,highway,traffic_signals,regular
150101946,highway,traffic_signals,regular
150973154,highway,traffic_signals,regular
150982946,created_by,JOSM,regular
158739820,is_in,"Seksyen 26, Shah Alam, Selangor, Malaysia",regular
158739820,sport,soccer,regular
158739820,created_by,Potlatch 0.5d,regular
158775772,ref,1,regular
158775772,name,Bulatan Masjid,regular
158775772,highway,motorway_junction,regular
158777046,name,Plaza Tol KLIA,regular
158777046,barrier,toll_booth,regular
158777046,en,KLIA Toll Plaza,name
158777046,operator,PLUS Expressways,regular
158777563,name,Plaza Tol KLIA,regular
158777563,barrier,toll_booth,regular
158777563,en,KLIA Toll Plaza,name
158777563,operator,PLUS Expressways,regular
159591688,highway,traffic_signals,regular
159594667,name,Plaza Tol Sungai Rasau,regular
159594667,toll,yes,regular
159594667,barrier,toll_booth,regular
159600539,highway,traffic_signals,regular
168928764,name,Poliklinik Salam,regular
168928764,is_in,"Seksyen 19, Shah Alam, Selangor, Malaysia",regular
168928764,amenity,hospital,regular
168928764,created_by,Potlatch 0.5d,regular
168928764,postal_code,40300,regular
168932609,name,Maybank,regular
168932609,is_in,"Seksyen 20, Shah Alam, Selangor, Malaysia",regular
168932609,amenity,bank,regular
168932609,created_by,Potlatch 0.6,regular
168932609,postal_code,40300,regular
168936696,name,Restoran Panmour Villa,regular
168936696,is_in,"Seksyen 20, Shah Alam, Selangor, Malaysia",regular
168936696,amenity,restaurant,regular
168936696,cuisine,malaysian,regular
168936696,en,Panmour Villa Restaurant,name
168938322,name,Pizza Hut,regular
168938322,is_in,"Seksyen 20, Shah Alam, Selangor, Malaysia",regular
168938322,amenity,restaurant,regular
168938322,cuisine,pizza,regular
168938322,created_by,Potlatch 0.6,regular
168938322,postal_code,40300,regular
170825862,name,Shell Bandar Tasik Selatan,regular
170825862,brand,Shell,regular
170825862,amenity,fuel,regular
170840062,highway,turning_circle,regular
170859791,highway,traffic_signals,regular
170866487,highway,traffic_signals,regular
170873531,name,KFC,regular
170873531,is_in,"Kajang, Selangor, Malaysia",regular
170873531,amenity,fast_food,regular
170873531,cuisine,chicken,regular
170873531,city,Kajang,addr
170873531,street,Jalan Tun Abdul Aziz,addr
186540352,highway,traffic_signals,regular
186540807,highway,traffic_signals,regular
188295418,name,Subang Mas,regular
188295418,is_in,"Subang Jaya, Selangor, Malaysia",regular
188295418,place,locality,regular
188295418,created_by,Potlatch 0.6,regular
188306532,name,Khulafa,regular
188306532,is_in,"Seksyen 20, Shah Alam, Selangor, Malaysia",regular
188306532,amenity,restaurant,regular
188306532,cuisine,mamak,regular
188306532,created_by,Potlatch 0.6,regular
188306532,postal_code,40300,regular
188309278,is_in,"Seksyen 20, Shah Alam, Selangor, Malaysia",regular
188309278,amenity,restaurant,regular
188309278,created_by,Potlatch 0.6,regular
188347121,name,Masjid Jame' Fastabiqul Khayrat,regular
188347121,is_in,"Batu Tiga, Shah Alam, Selangor, Malaysia",regular
188347121,amenity,place_of_worship,regular
188347121,religion,muslim,regular
188355111,barrier,gate,regular
188381195,ref,507,regular
188381195,name,HICOM,regular
188381195,exit_to,Shah Alam; Puchong; Kota Kemuning,regular
188381195,highway,motorway_junction,regular
196057380,name,Bandar Tasik Kesuma,regular
196057380,is_in,"Semenyih, Selangor, Malaysia",regular
196057380,place,hamlet,regular
196057380,postal_code,43700,regular
196081770,highway,traffic_signals,regular
196081803,highway,motorway_junction,regular
196081817,highway,traffic_signals,regular
196081817,traffic_signals,signal,regular
196091671,highway,traffic_signals,regular
197013994,name,Banting,regular
197013994,is_in,"Selangor, Malaysia",regular
197013994,place,town,regular
197013994,zh,万津,name
197013994,wikidata,Q1106689,regular
197013994,wikipedia,en:Banting,regular
197013994,population,93497,regular
198646834,highway,traffic_signals,regular
198904647,name,Masjid Al-Azahariah,regular
198904647,is_in,"Seksyen 18, Shah Alam, Selangor, Malaysia",regular
198904647,amenity,place_of_worship,regular
198904647,religion,muslim,regular
198904647,created_by,Potlatch 0.6,regular
199296865,name,Petronas,regular
199296865,is_in,"Seksyen 13, Shah Alam, Selangor, Malaysia",regular
199296865,amenity,fuel,regular
199296865,created_by,Potlatch 0.6,regular
202275486,barrier,toll_booth,regular
202276507,highway,traffic_signals,regular
202278134,highway,traffic_signals,regular
202285358,highway,traffic_signals,regular
202285842,highway,traffic_signals,regular
206089343,name,Surau Al-Munawwarah,regular
206089343,is_in,"Seksyen 13, Shah Alam, Selangor, Malaysia",regular
206089343,amenity,place_of_worship,regular
206089343,religion,muslim,regular
206089343,created_by,Potlatch 0.6a,regular
206089343,friday_prayer,yes,regular
206191812,ref,3506A,regular
206191812,exit_to,Puncak Alam;Meru,regular
206191812,highway,motorway_junction,regular
206192045,name,Plaza Tol Elmina,regular
206192045,barrier,toll_booth,regular
206192045,operator,GCE,regular
206192361,name,Plaza Tol Bukit Jelutong,regular
206192361,is_in,"Bukit Jelutong, Shah Alam, Selangor, Malaysia",regular
206192361,barrier,toll_booth,regular
206201241,ref,3503,regular
206201241,name,Paya Jaras,regular
206201241,exit_to,Sungai Buloh;Kepong;Kuala Selangor,regular
206201241,highway,motorway_junction,regular
206201345,name,Plaza Tol Lagong,regular
206201345,barrier,toll_booth,regular
206201345,en,Lagong Toll Plaza,name
206201345,operator,Prolintas,regular
206201433,name,Plaza Tol Rawang Selatan,regular
206201433,barrier,toll_booth,regular
206201433,en,Rawang South Toll Plaza,name
206201433,operator,PLUS Expressways,regular
206201615,note,"This is a designated motorcycle lane, using highway=path which is more appropriate",regular
206202032,highway,traffic_signals,regular
206203027,ref,114,regular
206203027,exit_to,Hospital Sungai Buloh,regular
206203027,highway,motorway_junction,regular
206978707,highway,traffic_signals,regular
206978754,highway,traffic_signals,regular
206978804,highway,traffic_signals,regular
206980645,highway,traffic_signals,regular
206982885,barrier,gate,regular
207127961,name,Petronas,regular
207127961,amenity,fuel,regular
207127961,created_by,Potlatch 0.6a,regular
207139837,name,Bukit Bandaraya,regular
207139837,is_in,"Shah Alam, Selangor, Malaysia",regular
207139837,place,suburb,regular
207139837,created_by,Potlatch 0.6a,regular
207146410,name,Shell,regular
207146410,is_in,"KESAS, Subang Jaya, Selangor, Malaysia",regular
207146410,amenity,fuel,regular
207146646,is_in,"KESAS, Subang Jaya, Selangor, Malaysia",regular
207146646,amenity,parking,regular
207148167,highway,traffic_signals,regular
207148167,traffic_signals,signal,regular
207148795,name,Shell,regular
207148795,amenity,fuel,regular
207148795,city,Bandar Baru Bangi,addr
207148795,amenity_1,atm,regular
207148795,place,Seksyen 10,addr
207148795,diesel,yes,fuel
207148795,octane_95,yes,fuel
207148795,octane_97,yes,fuel
207149811,highway,traffic_signals,regular
207154242,ref,1812,regular
207154242,highway,motorway_junction,regular
214607331,highway,traffic_signals,regular
214612960,highway,motorway_junction,regular
214625797,highway,traffic_signals,regular
214637055,name,Pasar,regular
214637055,shop,wet_market,regular
214637055,is_in,"Seksyen 6, Shah Alam, Selangor, Malaysia",regular
214637055,en,pasar modern seksyen 6,name
214637055,created_by,Potlatch 0.6a,regular
214637055,opening_hours,6:00-12:00,regular
220954293,highway,traffic_signals,regular
220954293,traffic_signals,signal,regular
220979958,highway,traffic_signals,regular
220981362,highway,traffic_signals,regular
221012749,highway,traffic_signals,regular
221013438,highway,traffic_signals,regular
228980916,name,Surau Asy-Syakirin,regular
228980916,is_in,"Pinggiran USJ 3, Pinggiran USJ, Subang Jaya, Selangor, Malaysia",regular
228980916,amenity,place_of_worship,regular
228980916,religion,muslim,regular
231224527,highway,traffic_signals,regular
231248909,highway,traffic_signals,regular
231281344,highway,traffic_signals,regular
231282724,highway,traffic_signals,regular
231286481,name,Dataran Rakyat,regular
231286481,place,square,regular
231286481,city,Putrajaya,addr
235231977,name,Surau,regular
235231977,amenity,place_of_worship,regular
235231977,religion,muslim,regular
235231977,denomination,sunni,regular
