id,user,uid,version,changeset,timestamp
5053228,woodpeck_repair,145231,6,35956501,2015-12-14T23:01:40Z
5053244,kucai,536853,5,16153580,2013-05-16T13:53:09Z
5053261,kucai,536853,11,16537389,2013-06-13T12:59:31Z
5053323,nyem,10463,7,1161354,2009-05-12T07:32:40Z
5053742,nyem,10463,6,632407,2008-09-14T19:21:44Z
5053777,nyem,10463,13,101703,2009-02-03T21:12:23Z
5055324,RunRunShow,3553413,10,37452439,2016-02-26T04:55:04Z
5055326,kucai,536853,4,14094762,2012-11-30T04:52:28Z
5055328,nyem,10463,7,1400428,2009-06-02T05:06:05Z
5055330,nyem,10463,2,104101,2008-06-09T05:54:32Z
5055333,Pizza1016,838520,12,27755856,2014-12-28T16:32:46Z
5055339,Pizza1016,838520,20,27753880,2014-12-28T14:25:31Z
5063381,shahrir,708289,5,11954378,2012-06-20T03:10:31Z
5063392,kucai,536853,11,13357977,2012-10-04T09:22:27Z
5063396,RunRunShow,3553413,11,37736190,2016-03-10T15:02:48Z
5063408,RunRunShow,3553413,7,37414489,2016-02-24T15:20:10Z
5063411,mahau,160164,3,11923101,2012-06-17T09:13:37Z
5063414,Kai Adam,5259280,16,49290674,2017-06-05T23:51:52Z
5063427,RunRunShow,3553413,13,37452439,2016-02-26T04:55:05Z
5074765,rene78,257555,6,45597575,2017-01-28T16:41:43Z
5074898,Wrightbus,261189,3,41350289,2016-08-09T17:32:52Z
5074900,woodpeck_repair,145231,4,35956501,2015-12-14T23:02:55Z
5074903,Wrightbus,261189,6,41350289,2016-08-09T17:32:53Z
5074920,phileaskong,6210821,19,49764140,2017-06-23T08:05:46Z
5074926,AkuAnakTimur,1407839,11,36601083,2016-01-15T19:27:01Z
5074942,Pizza1016,838520,7,27753880,2014-12-28T14:07:19Z
5074947,Kai Adam,5259280,12,47119740,2017-03-24T09:35:29Z
5074980,nyem,10463,4,123824,2008-08-07T18:11:32Z
5074990,nyem,10463,2,72461,2008-06-06T21:02:35Z
5075013,Lothh,605727,7,12116267,2012-07-05T03:23:42Z
5075030,Pizza1016,838520,50,27768094,2014-12-29T03:35:30Z
5075065,mahau,160164,15,15915722,2013-04-30T02:34:24Z
5082882,nyem,10463,6,613923,2008-09-12T19:44:14Z
5115571,kucai,536853,10,20611267,2014-02-17T08:56:07Z
5115627,kucai,536853,15,45221394,2017-01-16T17:59:40Z
5115684,Moovit Team,1190212,8,20764406,2014-02-25T06:39:18Z
5115875,rene78,257555,9,45462509,2017-01-25T05:32:13Z
5115890,kucai,536853,5,16599652,2013-06-18T07:07:48Z
5115984,Kai Adam,5259280,8,49708615,2017-06-21T02:13:37Z
5115991,Kai Adam,5259280,18,49877640,2017-06-28T03:16:05Z
5116072,rene78,257555,6,45597575,2017-01-28T16:41:40Z
5126166,nyem,10463,6,101703,2009-02-03T21:12:37Z
5126250,nyem,10463,7,101703,2009-02-03T21:12:36Z
5126500,Kai Adam,5259280,11,49290674,2017-06-05T23:51:53Z
5126593,RunRunShow,3553413,13,37563576,2016-03-02T10:42:19Z
5131505,mahau,160164,12,11524991,2012-05-07T05:03:07Z
5202731,Pizza1016,838520,11,27768324,2014-12-29T03:57:27Z
5202735,RunRunShow,3553413,8,49212042,2017-06-03T04:34:12Z
5202737,RunRunShow,3553413,15,49214897,2017-06-03T08:15:41Z
5202739,nyem,10463,3,695828,2008-11-06T02:32:16Z
5202741,RunRunShow,3553413,8,49212042,2017-06-03T04:34:11Z
5202749,kucai,536853,7,47967979,2017-04-20T11:04:57Z
5202764,rusliaziz,416545,19,7601086,2011-03-19T02:15:46Z
5204490,kucai,536853,16,16456385,2013-06-07T11:47:40Z
5204694,Kai Adam,5259280,5,47133866,2017-03-24T20:09:39Z
5204709,Ropino,42123,13,28071308,2015-01-11T19:31:57Z
5204717,RunRunShow,3553413,8,37465236,2016-02-26T17:01:53Z
5204742,Takuto,383200,7,46620257,2017-03-06T10:57:56Z
5204750,kucai,536853,6,16456385,2013-06-07T11:47:47Z
5204755,kucai,536853,12,16456385,2013-06-07T11:47:45Z
5204762,RunRunShow,3553413,11,37465236,2016-02-26T17:01:55Z
5204773,RunRunShow,3553413,11,37911454,2016-03-18T05:11:26Z
5204775,RunRunShow,3553413,9,37911454,2016-03-18T05:11:27Z
5204779,nyem,10463,4,72461,2008-06-06T21:17:55Z
5333294,ajixz,3881567,11,49037525,2017-05-28T05:38:27Z
5333600,kucai,536853,9,13344829,2012-10-03T09:36:14Z
5335587,Kai Adam,5259280,9,49278654,2017-06-05T17:34:11Z
5335941,nyem,10463,2,104101,2008-06-09T05:51:28Z
5336030,nyem,10463,1,284129,2007-08-31T19:13:16Z
5336232,nyem,10463,3,104101,2008-06-09T05:47:49Z
5336335,nyem,10463,1,341304,2007-09-05T17:49:21Z
5336413,nyem,10463,3,256245,2008-10-11T18:55:42Z
5336776,kucai,536853,6,25344158,2014-09-10T09:05:17Z
5337455,Kai Adam,5259280,15,49750537,2017-06-22T16:08:05Z
5337788,Kai Adam,5259280,25,49750537,2017-06-22T16:08:14Z
5338087,Kai Adam,5259280,11,49755992,2017-06-22T20:04:02Z
5651386,nyem,10463,2,104101,2008-06-09T05:43:51Z
5651529,nyem,10463,4,1161531,2009-05-12T07:53:17Z
5651645,nyem,10463,5,855578,2009-01-30T04:17:30Z
5651945,nyem,10463,3,256245,2008-10-11T18:55:30Z
5652248,nyem,10463,7,851252,2009-01-29T12:35:00Z
6103448,nyem,10463,2,104101,2008-06-09T05:38:20Z
6103734,ZaineeLee,2646473,10,28854855,2015-02-15T02:30:39Z
6103781,nyem,10463,8,101703,2009-02-03T20:42:10Z
6104655,samden,427807,4,13190187,2012-09-21T01:42:59Z
6105212,kucai,536853,5,20430639,2014-02-07T13:57:56Z
6105295,kucai,536853,9,20430639,2014-02-07T13:33:31Z
7715735,Faizul Ab Rahim,376496,4,15048146,2013-02-16T08:16:12Z
7720530,nyem,10463,3,104101,2008-06-09T05:48:19Z
7720566,nyem,10463,2,104101,2008-06-09T05:49:08Z
7720656,nyem,10463,7,107434,2008-06-09T11:22:01Z
7720827,kucai,536853,9,10186204,2011-12-23T11:07:52Z
8003407,nyem,10463,2,137129,2008-06-12T04:51:49Z
8149319,woodpeck_repair,145231,6,35956501,2015-12-14T23:02:01Z
8159723,HadasMoovit,6221440,20,50608762,2017-07-27T06:23:43Z
10589714,rene78,257555,10,45791324,2017-02-03T21:34:59Z
10590000,rene78,257555,18,45729369,2017-02-01T22:46:53Z
14362356,kucai,536853,7,16444643,2013-06-06T12:53:51Z
14362846,Takuto,383200,6,46703385,2017-03-09T09:02:12Z
14362889,rene78,257555,7,38617337,2016-04-16T10:17:05Z
14363199,RunRunShow,3553413,6,50176867,2017-07-10T13:39:03Z
14363224,nyem,10463,2,68634,2007-12-04T03:21:41Z
14363253,nyem,10463,2,72461,2008-06-06T21:17:54Z
14363277,nyem,10463,2,641622,2007-11-28T14:19:56Z
14363285,nyem,10463,4,68634,2007-12-04T03:20:48Z
14363743,kucai,536853,3,16456385,2013-06-07T11:47:46Z
14363809,kucai,536853,7,25954221,2014-10-09T06:19:10Z
14364025,RunRunShow,3553413,10,37601325,2016-03-04T05:58:16Z
14364075,nyem,10463,8,1232048,2009-05-18T05:25:28Z
14364129,nyem,10463,2,1232048,2009-05-18T05:25:28Z
14364260,kucai,536853,5,17410550,2013-08-19T12:41:56Z
14365269,Pizza1016,838520,18,27753880,2014-12-28T14:47:29Z
14365564,Pizza1016,838520,24,27753880,2014-12-28T14:37:17Z
14365642,Pizza1016,838520,14,27753880,2014-12-28T14:47:30Z
14366088,Kai Adam,5259280,8,47181093,2017-03-26T17:46:03Z
14366184,Kai Adam,5259280,19,47208438,2017-03-27T18:12:05Z
14366236,Kai Adam,5259280,12,46937822,2017-03-17T18:31:54Z
14366339,Kai Adam,5259280,7,46937822,2017-03-17T18:31:54Z
14366376,Kai Adam,5259280,7,46937822,2017-03-17T18:31:54Z
14366483,Kai Adam,5259280,8,48838204,2017-05-20T08:25:03Z
14366549,Kai Adam,5259280,6,48838204,2017-05-20T08:25:03Z
14366610,Kai Adam,5259280,5,46928363,2017-03-17T13:38:29Z
14366764,nfahmi,123529,3,11333590,2012-04-17T14:44:42Z
14366807,Kai Adam,5259280,10,47181093,2017-03-26T17:46:04Z
14366929,dannykath,2226712,7,44600533,2016-12-22T20:28:23Z
